Timestamp,Iteration,Test_Type,IOPS,BW_MiB_s,Lat_Mean_ms,Lat_Min_ms,Lat_Max_ms,Lat_StdDev_ms,Lat_p95_ms
2026-02-10T20:21:02Z,1,Random_Write,1945.102745,7.60,0.48,0.00,10.00,0.20,0.65
2026-02-10T20:21:25Z,1,Random_Read,1707.914604,6.67,0.56,0.20,14.81,0.24,0.83
2026-02-10T20:21:57Z,1,Seq_Read,145.19274,145.19,6.78,1.09,12.83,0.81,7.57
2026-02-10T20:22:28Z,2,Random_Write,2026.348683,7.92,0.46,0.22,11.22,0.13,0.62
2026-02-10T20:22:50Z,2,Random_Read,1828.158592,7.14,0.52,0.04,6.70,0.21,0.77
2026-02-10T20:23:21Z,2,Seq_Read,145.185481,145.18,6.78,0.92,11.41,0.81,7.57
2026-02-10T20:23:51Z,3,Random_Write,1978.301085,7.73,0.47,0.19,12.94,0.17,0.63
2026-02-10T20:24:13Z,3,Random_Read,1774.011299,6.93,0.54,0.19,28.48,0.27,0.80
2026-02-10T20:24:44Z,3,Seq_Read,145.185481,145.18,6.78,1.01,11.36,0.82,7.70
2026-02-10T20:25:14Z,4,Random_Write,1979.051047,7.73,0.47,0.01,10.45,0.13,0.63
2026-02-10T20:25:36Z,4,Random_Read,1770.261487,6.92,0.54,0.20,6.66,0.21,0.80
2026-02-10T20:26:07Z,4,Seq_Read,145.185481,145.18,6.78,0.80,11.57,0.82,7.63
2026-02-10T20:26:37Z,5,Random_Write,2039.898005,7.97,0.46,0.23,8.70,0.12,0.60
2026-02-10T20:27:00Z,5,Random_Read,1649.217539,6.44,0.58,0.01,8.27,0.23,0.85
2026-02-10T20:27:30Z,5,Seq_Read,145.185481,145.18,6.80,1.07,20.60,0.93,7.70
