timestamp,test_iteration,threads,connections,duration,requests_total,requests_per_sec,transfer_per_sec_mb,latency_avg_ms,latency_stdev_ms,latency_max_ms
2026-02-10T21:23:50Z,1,1,10,10s,219032,21901.48,15.58,930,1790,17150
2026-02-10T21:23:50Z,2,1,10,10s,222169,22216.29,15.81,940,1750,16510
2026-02-10T21:23:50Z,3,1,10,10s,211539,20944.08,14.90,1060,2510,50360
2026-02-10T21:23:50Z,4,1,10,10s,221740,21954.86,15.62,0.70188,1460,16440
2026-02-10T21:23:50Z,5,1,10,10s,210151,21014.55,14.95,1120,1970,16430
2026-02-10T21:23:50Z,1,1,50,10s,265539,26526.98,18.87,1810,1550,18410
2026-02-10T21:23:50Z,2,1,50,10s,267238,26684.21,18.98,1650,1190,16950
2026-02-10T21:23:50Z,3,1,50,10s,266238,26570.65,18.90,1690,1260,17510
2026-02-10T21:23:50Z,4,1,50,10s,267925,26742.21,19.03,1680,1280,14970
2026-02-10T21:23:50Z,5,1,50,10s,261155,26050.60,18.53,1630,1180,17790
2026-02-10T21:23:50Z,1,1,100,10s,275990,27371.24,19.47,3070,1770,51960
2026-02-10T21:23:50Z,2,1,100,10s,268790,26678.32,18.98,3100,1690,15140
2026-02-10T21:23:50Z,3,1,100,10s,269772,26744.61,19.03,3150,1880,24050
2026-02-10T21:23:50Z,4,1,100,10s,276364,27394.89,19.49,2990,1490,17230
2026-02-10T21:23:50Z,5,1,100,10s,271292,26872.67,19.12,3170,2660,55120
